time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
01-11-2023 00:56:44	695.588514	0.045646	18710.894490	19113.380434	1.109742	2.751160	2.751160	49
01-11-2023 01:08:36	711.770011	0.063966	19032.729150	19120.559602	1.093947	2.751160	2.751160	49
01-11-2023 01:20:31	714.656517	0.023628	19059.637510	19131.196670	1.090601	2.751160	2.751160	49
01-11-2023 01:32:22	710.906430	0.039852	19894.217475	19107.491099	1.119632	2.751160	2.751160	49
01-11-2023 01:44:27	725.500747	0.036594	19703.580755	19308.734032	1.097407	2.751160	2.751160	49
01-11-2023 01:56:29	722.315117	0.040473	20545.754302	19308.586259	1.126037	2.751160	2.751160	49
01-11-2023 02:08:53	743.639955	0.014427	20042.278370	19278.262163	1.079097	2.751160	2.751160	49
01-11-2023 02:20:46	712.987542	0.041249	19964.092868	19132.781518	1.119087	2.751160	2.751160	49
01-11-2023 02:32:37	710.948212	0.046801	20481.583661	19131.434804	1.137114	2.751160	2.751160	49
01-11-2023 02:44:50	732.906396	0.063462	20653.424812	19187.425994	1.109389	2.751160	2.751160	49
