time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
29-10-2023 09:36:17	1121.134985	0.026830	84201.304813	38903.649992	2.240895	6.186676	6.186676	49
29-10-2023 09:55:01	1124.241083	0.121214	83185.369549	38918.014276	2.216523	6.186676	6.186676	49
29-10-2023 10:13:47	1126.372564	0.109751	83918.138031	38893.009826	2.225152	6.186676	6.186676	49
29-10-2023 10:32:34	1126.682674	0.078959	83539.870852	38900.816845	2.217829	6.186676	6.186676	49
29-10-2023 10:51:18	1124.347257	0.151059	84036.688251	38883.544966	2.231140	6.186676	6.186676	49
29-10-2023 11:10:09	1130.492663	0.071817	87827.980605	38883.258880	2.287448	6.186676	6.186676	49
29-10-2023 11:29:00	1131.342260	0.109683	88143.714357	38877.955334	2.291330	6.186676	6.186676	49
29-10-2023 11:47:48	1127.740230	0.110052	83503.270680	38878.763143	2.214688	6.186676	6.186676	49
29-10-2023 12:06:36	1128.339984	0.106388	87204.058270	38849.542116	2.279918	6.186676	6.186676	49
29-10-2023 12:25:25	1128.971779	0.135678	85054.913687	38873.199490	2.240220	6.186676	6.186676	49
29-10-2023 12:44:13	1127.929847	0.111167	83438.225427	38858.722452	2.212776	6.186676	6.186676	49
29-10-2023 13:03:00	1126.768601	0.145940	87519.492957	38855.045103	2.288910	6.186676	6.186676	49
29-10-2023 13:21:44	1124.190242	0.109059	84826.935308	38860.367882	2.245377	6.186676	6.186676	49
29-10-2023 13:40:31	1126.250818	0.103933	88079.987426	38855.203376	2.300122	6.186676	6.186676	49
