time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
14-10-2023 16:28:27	359.321938	0.056994	49782.740212	15141.460407	1.825104	5.728912	5.728912	99
14-10-2023 16:34:08	340.481480	0.036568	17649.156881	15294.348007	0.977330	5.728912	5.728912	99
14-10-2023 16:45:01	653.536685	0.077358	13020.387122	2547.464601	0.240615	5.728912	5.728912	99
14-10-2023 16:51:02	360.544594	0.014181	50905.069405	15140.637549	1.850335	5.728912	5.728912	99
14-10-2023 16:56:44	342.254952	0.041489	17287.528607	15297.936307	0.961699	5.728912	5.728912	99
14-10-2023 17:07:37	652.980770	0.027576	12853.584229	2545.691862	0.238213	5.728912	5.728912	99
14-10-2023 17:13:36	358.579194	0.011743	49682.522555	15142.698498	1.826097	5.728912	5.728912	99
14-10-2023 17:19:17	340.808951	0.075015	17128.406261	15282.421736	0.960603	5.728912	5.728912	99
14-10-2023 17:30:08	651.155190	0.084897	12867.411235	2541.175120	0.239025	5.728912	5.728912	99
14-10-2023 17:41:01	653.120485	0.020520	50230.085638	2547.137754	0.816240	5.728912	5.728912	99
14-10-2023 17:47:01	359.673070	0.058049	50289.871459	15133.866869	1.837351	5.728912	5.728912	99
14-10-2023 17:52:43	342.418968	0.074248	17216.645731	15293.840570	0.959026	5.728912	5.728912	99
14-10-2023 18:03:35	651.242675	0.085490	12751.882407	2539.712807	0.237178	5.728912	5.728912	99
14-10-2023 18:09:34	359.105140	0.013850	50956.436311	15139.454305	1.859164	5.728912	5.728912	99
14-10-2023 18:15:21	341.356694	0.068021	16767.389894	15322.626934	0.949569	5.728912	5.728912	99
14-10-2023 18:26:13	652.690003	0.104246	12743.593274	2543.027388	0.236575	5.728912	5.728912	99
14-10-2023 18:32:13	359.206264	0.010068	50909.278293	15139.875644	1.857326	5.728912	5.728912	99
14-10-2023 18:37:54	341.166611	0.069756	17948.283308	15304.005292	0.984509	5.728912	5.728912	99
14-10-2023 18:48:49	655.530011	0.103085	13296.028756	2546.721124	0.244120	5.728912	5.728912	99
14-10-2023 18:54:50	360.089824	0.059342	51764.127165	15154.383382	1.877155	5.728912	5.728912	99
14-10-2023 19:00:44	353.925205	0.076092	17860.318880	15541.609290	0.953290	5.728912	5.728912	99
14-10-2023 19:11:38	654.504129	0.098827	12929.868296	2545.284526	0.238829	5.728912	5.728912	99
14-10-2023 19:17:36	358.190487	0.055495	50449.449660	15141.642292	1.849676	5.728912	5.728912	99
14-10-2023 19:23:18	341.088457	0.037441	16983.026227	15296.982327	0.955942	5.728912	5.728912	99
14-10-2023 19:34:10	652.380967	0.092096	12897.385334	2543.259724	0.239072	5.728912	5.728912	99
14-10-2023 19:45:04	653.568740	0.052537	50187.471992	2541.910683	0.814941	5.728912	5.728912	99
14-10-2023 19:51:03	359.761214	0.014970	49509.879590	15141.107438	1.815205	5.728912	5.728912	99
14-10-2023 19:56:44	340.218488	0.061283	17613.800443	15235.288621	0.975282	5.728912	5.728912	99
14-10-2023 20:07:36	652.337407	0.093327	12816.835396	2538.889599	0.237773	5.728912	5.728912	99
14-10-2023 20:13:35	359.028965	0.063349	49296.457349	15147.765090	1.813090	5.728912	5.728912	99
14-10-2023 20:19:18	342.638021	0.074790	17026.790225	15299.949622	0.952996	5.728912	5.728912	99
14-10-2023 20:31:27	729.426401	0.066363	13928.416200	2541.695668	0.228076	5.728912	5.728912	99
14-10-2023 20:37:26	358.448789	0.059681	51802.262014	15142.930562	1.886501	5.728912	5.728912	99
