is_coea_point	is_ea_point	fevals	f1	f2	pred	prey	rel_pred_distances	rel_prey_distances	experiment
false	false	10080000	0.489432	0.662026	[| 0.721640698524 ; 0.0399044105806 ; 0.442716586349 ; -0.3038209224 ; -0.754408294688 ; -0.708491239319 ; 0.0414300630345 ; -0.507326295099 ; 0.0279223125099 ; -0.877202086498 ; -0.00324099266093 ; 0.834211580605 ; 0.297692201773 ; 0.696125822704 ; 0.57224596165 ; 0.382501354857 ; 0.718813828758 ; 0.816392569934 ; 0.468951302039 ; 0.0017044372944 ; 0.531891428357 ; 0.341514124974 |]	[| 213 ; 19.9614314757 ; 7.8698803048 ; 20.4051109711 ; 14.7523659982 ; 7.49722573573 ; 19.9811413568 ; 8.98780411769 ; 1.69380991768 ; 3.34934262787 ; 1.76758082526 ; 4.79367590536 ; 3.29288807645 ; 2.89135059652 ; 3.19392220273 |]	6.94824592383,6.9070941757,7.40975056277,9.22023511695,0.,7.64584403878,7.07531049698	6.46156467346,6.40883863362,6.49566818819,6.49566818819,0.,0.372952119068,6.34977023962	job_3500625.out
false	false	10080000	0.507926	0.656051	[| 0.115633237077 ; 0.98075124676 ; 0.487884163632 ; -0.790130405064 ; -0.111241684882 ; 0.342717093157 ; -0.96141276027 ; -0.158736136913 ; -0.676376204473 ; -0.501246540282 ; 0.00249992986132 ; -0.318807746684 ; 0.12960919392 ; -0.0541650911564 ; 0.313590196862 ; 0.526090491199 ; 0.669586648066 ; 0.0298655370226 ; 0.0227845078173 ; 0.385846611408 ; 0.95728923067 ; 0.103566878417 |]	[| 213 ; 19.9614314757 ; 8.83718787649 ; 20.4051109711 ; 13.7806115809 ; 7.49722573573 ; 19.9811413568 ; 8.98780411769 ; 1.69380991768 ; 4.287133393 ; 1.76758082526 ; 4.79367590536 ; 3.29288807645 ; 2.89135059652 ; 3.19392220273 |]	4.85630302977,4.29947109134,5.11323789489,3.093429145,7.64584403878,0.,6.50371959398	6.22743461401,6.17470857417,6.26153812873,6.26153812873,0.372952119068,0.,6.11564018017	job_3500625.out
false	false	10080000	0.512982	0.612737	[| 0.813924322676 ; 0.951113821903 ; 0.058496988736 ; -0.900630400971 ; -0.469737929365 ; 0.573387425369 ; 0.277744674946 ; -0.439997853996 ; -0.117734552887 ; -0.905433387862 ; -0.229752180231 ; 0.108279423054 ; -0.199143125632 ; -0.956536316114 ; 0.0461788718629 ; 0.890920860024 ; 0.214692479706 ; 0.648944736693 ; 0.00338010639226 ; 0.208207589687 ; 0.618069843135 ; 0.885497977755 |]	[| 4 ; 14.4157338877 ; 14.273812607 ; 15.6919253888 ; 15.1804802179 ; 14.5604293929 ; 15.0065165488 ; 15.0205099991 ; 3.97785188174 ; 4.80374479169 ; 4.83284779206 ; 4.70540399987 ; 4.63896999759 ; 4.67501406993 ; 4.52514218402 |]	4.76648058757,4.61252552203,5.0105615366,6.36501350908,7.07531049698,6.50371959398,0.	1.53732236067,1.63479758327,1.51435878577,1.51435878577,6.34977023962,6.11564018017,0.	job_3500625.out
true	false	10080000	0.477195	0.611349	[| 0.166714471319 ; 0.0162173260603 ; 0.895175495148 ; 0.509065266954 ; 0.0859331224751 ; 0.0167502595722 ; -0.328547667744 ; 0.720150622057 ; 0.352752642767 ; 0.644574544113 ; 0.90508847785 ; -0.139333048334 ; 0.179369491696 ; 0.813123330293 ; 0.194281859493 ; 0.000630670642884 ; 0.442877622478 ; 0.0854028746085 ; 0.112162994602 ; 0.158316516973 ; 0.217421255577 ; 0.0867308170953 |]	[| 152 ; 14.0012754736 ; 13.8743429796 ; 14.6611788046 ; 15.1219320075 ; 14.5091955943 ; 13.6543711564 ; 14.5250283551 ; 4.72522434082 ; 4.48546905038 ; 4.67540623671 ; 4.86155032282 ; 4.67277426535 ; 4.67501406993 ; 4.56140891493 |]	9.42624975423,8.79869827625,8.54203970052,6.9975614769,7.62411983754,6.97396349026,10.108438104	0.0965818137439,0.268026259844,0.248759164971,0.248759164971,6.55814648721,6.32401642775,1.63390417442	job_3500625.out
false	true	10080000	0.573601	0.712257	[| 0.0821341725728 ; 0.518884253218 ; 0.400736072016 ; -0.925058083432 ; 0.029335725859 ; 0.696493261637 ; -0.720055642225 ; 0.497777354727 ; -0.000827480219073 ; -0.000660620286121 ; -0.415610992342 ; -0.428586231859 ; -0.0843794655914 ; -0.485678195632 ; 0.429317057829 ; 0.185831566125 ; 0.796055377608 ; 0.431366359417 ; 0.000132585054889 ; 8.04814178383e-05 ; 0.71377820032 ; 0.669529344913 |]	[| 213 ; 19.9614314757 ; 8.83718787649 ; 20.4051109711 ; 13.7806115809 ; 7.49722573573 ; 19.9811413568 ; 8.98780411769 ; 1.69380991768 ; 3.34934262787 ; 1.76758082526 ; 4.79367590536 ; 3.29288807645 ; 2.89135059652 ; 3.19392220273 |]	5.75578076818,5.17787786815,5.74323718549,4.46801179991,7.28213263964,4.67912583287,6.20146402892	6.46188230529,6.40915626545,6.49598582002,6.49598582002,0.138504427786,0.234447691282,6.35008787145	job_3500625.out
false	false	15120000	0.552858	0.686455	[| 0.0865082216642 ; 0.940607442217 ; 0.818921632164 ; -0.850939520406 ; 0.636224654102 ; 0.49699217903 ; -0.825534406343 ; 0.838967908818 ; -0.0545871254159 ; -0.253751886814 ; -0.327228440405 ; -0.0802924215611 ; 0.160024503251 ; -0.655226288661 ; 0.300954733313 ; 0.386867434937 ; 0.843020844366 ; 0.106404846582 ; 0.0028922970759 ; 0.915272105551 ; 0.970487844573 ; 0.343509917319 |]	[| 213 ; 19.4064335062 ; 8.47150166337 ; 17.7490217854 ; 11.6354866154 ; 8.31589813856 ; 19.9811413568 ; 8.98780411769 ; 4.00764983392 ; 4.25845090311 ; 1.76758082526 ; 4.79626608418 ; 3.83482389558 ; 3.24580093947 ; 4.15046143571 |]	0.,0.426122120252,7.54706951786,5.4686208031	0.,1.44715624765,5.38320630037,5.33575337933	job_3500625.out
false	false	15120000	0.558109	0.679932	[| 0.0865082216642 ; 0.95471347136 ; 0.818921632164 ; -0.850939520406 ; 0.636224654102 ; 0.49699217903 ; -0.825534406343 ; 0.838967908818 ; -0.0545871254159 ; -0.253751886814 ; -0.327228440405 ; -0.0802924215611 ; -0.216360531138 ; -0.655226288661 ; 0.300954733313 ; 0.386867434937 ; 0.627633924713 ; 0.106404846582 ; 0.0028922970759 ; 0.915272105551 ; 0.962051190312 ; 0.343509917319 |]	[| 213 ; 18.9511414602 ; 8.67547477366 ; 20.7052430719 ; 13.7806115809 ; 8.17514386971 ; 19.9811413568 ; 8.98780411769 ; 1.69380991768 ; 4.24399651655 ; 1.51143606751 ; 4.95056284583 ; 4.33354601364 ; 2.89135059652 ; 4.66107366391 |]	0.426122120252,0.,7.77038420336,5.33258346868	1.44715624765,0.,5.88681524448,5.83936232343	job_3500625.out
false	false	15120000	0.579455	0.654998	[| 0.815177661124 ; 0.95240457468 ; -0.602837724526 ; -0.917335848603 ; -0.368589092208 ; 0.268482326358 ; 0.277744674946 ; -0.439997853996 ; -0.136310719793 ; -0.95194003371 ; 0.357200080818 ; -0.049118667687 ; -0.00231535804558 ; -0.991592931382 ; 0.0316264876682 ; 0.890920860024 ; 0.887292563873 ; 0.648944736693 ; 0.000301468332692 ; 0.232520053236 ; 0.300381444661 ; 0.885497977755 |]	[| 256 ; 15.1624272949 ; 14.8132823352 ; 14.6611788046 ; 14.7505800313 ; 14.5091955943 ; 12.4927466454 ; 14.5250283551 ; 4.77743564214 ; 4.83116891846 ; 4.67540623671 ; 4.87277202451 ; 4.7437171175 ; 4.67501406993 ; 4.73044805679 |]	7.54706951786,7.77038420336,0.,4.20227105236	5.38320630037,5.88681524448,0.,0.0474529210432	job_3500625.out
false	false	15120000	0.600160	0.654279	[| 0.136575746798 ; 0.944073209106 ; -0.435630516892 ; -0.600944500608 ; -0.0449981562407 ; 0.245904517561 ; -0.321712983122 ; -0.672123118774 ; -0.843398244302 ; -0.144703978303 ; -0.50224987301 ; 0.102776023529 ; -0.165269542733 ; -0.754915455721 ; 0.0154199140921 ; 0.725040192744 ; 0.736490561176 ; 0.102360488725 ; 0.000546721837743 ; 0.208207589687 ; 0.294915871486 ; 0.57298204132 |]	[| 256 ; 15.1624272949 ; 14.8132823352 ; 14.6611788046 ; 14.0862391367 ; 14.5091955943 ; 12.4927466454 ; 14.5250283551 ; 4.77743564214 ; 4.83116891846 ; 4.67540623671 ; 4.87277202451 ; 4.7437171175 ; 4.67501406993 ; 4.73044805679 |]	5.4686208031,5.33258346868,4.20227105236,0.	5.33575337933,5.83936232343,0.0474529210432,0.	job_3500625.out
true	false	15120000	0.534767	0.625465	[| 0.250749680361 ; 0.00838162926307 ; 0.894256167246 ; 0.903163698684 ; 0.924692460101 ; 0.563796126901 ; -0.0873247654471 ; 0.545043155155 ; 0.205376156349 ; -0.452996389779 ; 0.530716670997 ; 0.134724304977 ; 0.0890616464098 ; 0.813123330293 ; 0.114820207876 ; 0.000768673388383 ; 0.18546049656 ; 0.0474262781072 ; 0.291780830238 ; 0.149473063427 ; 0.446066543442 ; 0.0867308170953 |]	[| 4 ; 12.5486529142 ; 12.9820602736 ; 13.9055277511 ; 13.1844453504 ; 13.0161617213 ; 8.81233007234 ; 15.1787300201 ; 3.60534397958 ; 4.58397224974 ; 4.55345518167 ; 4.39150832932 ; 4.65962751404 ; 4.77056905075 ; 4.68235875277 |]	7.36529045209,7.27280256767,9.77931726533,8.37561373935	5.472895857,5.89877144844,2.46212597729,2.41467305624	job_3500625.out
false	true	15120000	0.588403	0.721541	[| 0.0772184062904 ; 0.536840754358 ; 0.400736072016 ; -0.925058083432 ; 0.029335725859 ; 0.637599247935 ; -0.628714927507 ; 0.426071272258 ; -0.000827480219073 ; -0.000660620286121 ; 0.000200652828838 ; -0.24664512166 ; -0.0112492378821 ; 0.118532837567 ; 0.427493143527 ; 0.160601881699 ; 0.767575805056 ; 0.153685213602 ; 0.000132585054889 ; 5.54628188251e-05 ; 0.810797436593 ; 0.637564454556 |]	[| 213 ; 20.4398150285 ; 7.20451471529 ; 19.9003024847 ; 13.6294469025 ; 7.49722573573 ; 19.9811413568 ; 10.6800147146 ; 1.69380991768 ; 3.34934262787 ; 2.1167256418 ; 4.95524428805 ; 3.87511584345 ; 1.44030907547 ; 4.41018853267 |]	4.05789807705,4.14498306903,7.04127532181,5.26337130193	2.09889499136,1.36523597643,6.59267055031,6.54521762927	job_3500625.out
false	false	20160000	0.565117	0.695940	[| 0.0234168512155 ; 0.940607442217 ; 0.842408023254 ; -0.655024395646 ; 0.130558514311 ; 0.628769041842 ; -0.825534406343 ; 0.479681502125 ; -0.0545871254159 ; -0.253751886814 ; -0.598258538527 ; -0.0642591652433 ; 0.488738176013 ; -0.655226288661 ; 0.300954733313 ; 0.413556698482 ; 0.843020844366 ; 0.106404846582 ; 0.0028922970759 ; 0.947360606869 ; 0.970487844573 ; 0.322241390845 |]	[| 213 ; 18.8418638804 ; 8.75464924403 ; 18.1935120498 ; 13.099057347 ; 8.92901649822 ; 18.1776848323 ; 8.98780411769 ; 4.00764983392 ; 4.29442838837 ; 2.02318289688 ; 4.82682985899 ; 3.83482389558 ; 2.89135059652 ; 4.15046143571 |]	0.,2.00944116975,1.75621214075,4.06246052453,3.83053100656,0.817767189539,1.9005928141,5.81898851117	0.,2.34706114487,1.45365439851,1.5051340487,1.5051340487,2.39017240437,1.22364515075,4.85088943757	job_3500625.out
false	false	20160000	0.573567	0.694953	[| 0.056280692167 ; 0.957562011677 ; 0.283514153847 ; -0.605605728577 ; 0.708768493655 ; 0.49699217903 ; -0.825534406343 ; 0.838967908818 ; -0.0545871254159 ; -0.101635451165 ; 0.407737725441 ; -0.0802924215611 ; 0.160024503251 ; -0.655226288661 ; 0.300954733313 ; 0.31096085785 ; 0.843020844366 ; 0.106404846582 ; 0.0028922970759 ; 0.915272105551 ; 0.789374115089 ; 0.375843371736 |]	[| 213 ; 20.7508071995 ; 7.48918631626 ; 20.4554303566 ; 12.0299762884 ; 7.49722573573 ; 19.9811413568 ; 7.54307842476 ; 1.90107000271 ; 4.73085184446 ; 1.42481719591 ; 4.72859861766 ; 2.74033188436 ; 1.44947643042 ; 4.56691715334 |]	2.00944116975,0.,1.90696373877,3.65335812096,3.37253601313,1.74738482125,1.70324221965,6.05250944041	2.34706114487,0.,1.79104464155,2.09089868205,2.09089868205,0.860643149013,1.71084493056,6.77426511478	job_3500625.out
false	false	20160000	0.573928	0.692582	[| 0.0508869539849 ; 0.956440980093 ; 0.818921632164 ; -0.643173194353 ; 0.636224654102 ; 0.49699217903 ; -0.842137544168 ; 0.838967908818 ; -0.0553692553325 ; -0.253751886814 ; -0.327228440405 ; -0.768424160439 ; -0.496442802424 ; -0.662775636904 ; 0.300954733313 ; 0.413231249758 ; 0.717838293952 ; 0.0901223801486 ; 0.00225678930316 ; 0.915272105551 ; 0.962051190312 ; 0.343509917319 |]	[| 213 ; 18.6230481104 ; 8.83718787649 ; 19.8618221596 ; 13.5242095876 ; 7.40814028467 ; 19.9811413568 ; 8.69852853283 ; 1.69380991768 ; 4.65160624068 ; 2.9917082318 ; 4.79626608418 ; 3.83482389558 ; 3.27781465433 ; 4.19181521484 |]	1.75621214075,1.90696373877,0.,3.41727123525,3.57393735063,2.05924242816,2.15644298618,5.878591379	1.45365439851,1.79104464155,0.,1.27701505102,1.27701505102,1.98569953654,1.15179529889,5.32399666069	job_3500625.out
