time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
31-10-2023 10:23:59	413.268972	0.036985	12111.114595	12562.599549	1.218444	2.751160	2.751160	49
31-10-2023 10:31:03	423.520142	0.027291	12012.438213	12575.414495	1.184815	2.751160	2.751160	49
31-10-2023 10:38:08	425.241619	0.045793	12327.625576	12581.617808	1.195443	2.751160	2.751160	49
31-10-2023 10:45:17	428.976610	0.045783	12280.216267	12579.629544	1.182684	2.751160	2.751160	49
31-10-2023 10:52:26	429.180423	0.031695	12465.202758	12648.789078	1.194207	2.751160	2.751160	49
31-10-2023 10:59:45	438.643060	0.029905	12837.496239	12667.825278	1.186652	2.751160	2.751160	49
31-10-2023 11:07:07	442.432256	0.010750	12740.295098	12724.210043	1.174606	2.751160	2.751160	49
31-10-2023 11:14:26	438.903434	0.035805	13005.642973	12882.853952	1.203765	2.751160	2.751160	49
31-10-2023 11:22:05	459.213151	0.028314	12846.580954	12883.827922	1.143500	2.751160	2.751160	49
31-10-2023 11:29:26	440.401042	0.037992	12577.995353	12881.258080	1.179781	2.751160	2.751160	49
31-10-2023 11:36:39	433.310648	0.017997	12844.164735	12882.171158	1.211665	2.751160	2.751160	49
31-10-2023 11:43:57	438.181128	0.008263	13025.143544	12850.507775	1.205151	2.751160	2.751160	49
31-10-2023 11:51:13	436.062740	0.045916	13164.666120	12889.553438	1.219363	2.751160	2.751160	49
