time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
14-10-2023 08:41:24	329.559578	0.026377	23282.255104	15062.802539	1.175277	5.728912	5.728912	99
14-10-2023 08:56:46	921.904119	0.032216	12812.630287	3636.048703	0.180223	5.728912	5.728912	99
14-10-2023 09:12:03	916.318509	0.057775	48829.018232	3613.116596	0.578094	5.728912	5.728912	99
14-10-2023 09:17:37	334.006912	0.057309	48995.476456	15121.906406	1.939033	5.728912	5.728912	99
14-10-2023 09:23:03	326.548819	0.134284	16334.712473	14700.472946	0.960000	5.728912	5.728912	99
14-10-2023 09:38:16	912.510972	0.079985	12407.213056	3605.594421	0.177253	5.728912	5.728912	99
14-10-2023 09:43:49	333.395656	0.055163	49360.779716	15078.092841	1.952328	5.728912	5.728912	99
14-10-2023 09:49:16	326.586600	0.065487	16618.032852	14697.395289	0.968556	5.728912	5.728912	99
14-10-2023 10:04:28	912.136884	0.083523	13185.729661	3598.696224	0.185871	5.728912	5.728912	99
14-10-2023 10:10:01	333.111031	0.052349	48882.427554	15066.540381	1.939141	5.728912	5.728912	99
14-10-2023 10:15:23	321.571507	0.070926	17708.588410	14666.569729	1.016949	5.728912	5.728912	99
14-10-2023 10:30:35	911.940504	0.040192	12902.913228	3597.147664	0.182761	5.728912	5.728912	99
14-10-2023 10:36:05	330.527588	0.056351	50441.847147	15034.739804	2.000982	5.728912	5.728912	99
14-10-2023 10:41:30	325.016855	0.064432	16621.082471	14871.440579	0.978738	5.728912	5.728912	99
14-10-2023 10:56:44	913.661514	0.074135	12247.595867	3606.827988	0.175279	5.728912	5.728912	99
14-10-2023 11:02:17	333.195922	0.050634	50440.870894	15040.189279	1.985093	5.728912	5.728912	99
14-10-2023 11:08:06	348.118084	0.089719	16394.819930	14966.339381	0.909977	5.728912	5.728912	99
14-10-2023 11:23:20	914.211678	0.081185	12975.075562	3612.360456	0.183272	5.728912	5.728912	99
14-10-2023 11:38:34	914.248097	0.057424	48453.496310	3616.648229	0.575294	5.728912	5.728912	99
14-10-2023 11:44:06	331.709450	0.048261	50553.280174	15025.304550	1.996958	5.728912	5.728912	99
