time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
30-10-2023 00:10:36	1145.243283	0.117780	84073.052905	40899.488253	2.227003	6.186676	6.186676	49
30-10-2023 00:29:46	1150.016816	0.127307	87592.087366	41517.034434	2.291167	6.186676	6.186676	49
30-10-2023 00:48:58	1151.614996	0.073371	88270.618847	41506.362605	2.299822	6.186676	6.186676	49
30-10-2023 01:08:10	1152.171559	0.082093	87927.657658	41442.137141	2.291499	6.186676	6.186676	49
30-10-2023 01:27:21	1150.857838	0.075200	88998.319674	41397.891942	2.312316	6.186676	6.186676	49
30-10-2023 01:46:39	1157.893726	0.037097	90147.939669	41294.382840	2.316703	6.186676	6.186676	49
30-10-2023 02:06:01	1162.670645	0.036700	89278.266718	41306.045582	2.292125	6.186676	6.186676	49
30-10-2023 02:25:15	1153.246980	0.079931	91958.427421	41297.569242	2.358133	6.186676	6.186676	49
30-10-2023 02:45:08	1193.135963	0.130816	92715.455604	41296.049334	2.292219	6.186676	6.186676	49
30-10-2023 03:04:46	1178.721127	0.123338	91021.979705	41246.870851	2.290079	6.186676	6.186676	49
30-10-2023 03:24:13	1166.070792	0.124296	91813.067791	41243.707316	2.328713	6.186676	6.186676	49
30-10-2023 03:43:49	1176.008251	0.102172	90899.023152	41300.505654	2.294159	6.186676	6.186676	49
30-10-2023 04:03:25	1176.561270	0.041544	93161.679937	41244.899871	2.331363	6.186676	6.186676	49
30-10-2023 04:23:09	1184.147290	0.102502	94676.529190	41244.558535	2.342529	6.186676	6.186676	49
30-10-2023 04:43:20	1210.712859	0.123901	94970.164161	41326.667668	2.297463	6.186676	6.186676	49
30-10-2023 05:03:18	1198.133424	0.087220	94058.360281	41269.506468	2.305080	6.186676	6.186676	49
30-10-2023 05:23:00	1181.562002	0.117741	92344.513647	41280.674050	2.308000	6.186676	6.186676	49
30-10-2023 05:42:42	1182.561895	0.039428	96190.379173	41335.722100	2.373368	6.186676	6.186676	49
30-10-2023 06:02:15	1172.839456	0.034271	93854.088564	41169.077397	2.349490	6.186676	6.186676	49
30-10-2023 06:21:46	1170.807522	0.111262	93261.863703	40815.142052	2.337075	6.186676	6.186676	49
